manufacturer,element,lot,expiration
Assurance,Fe,28-75FEY,July 30 2026
Ricca,Rh,45120966,Nov 30 2027
Assurance,Mn,27-195MNY,Jan 30 2026
Assurance,Ni,27-186NIT,Feb 28 2026
Ricca,Re,840300A,Apr 30 2027
Assurance,Pt,28-2PTY,March 30 2026
Assurance,Co,28-73COY,Oct 30 2026
Assurance,Li,28-63LIY,Aug 30 2026
Assurance,Ru,28-56RUY,May 30 2026
Assurance,Na,27-159NAY,Aug 30 2026
Assurance,La,28-70LAY,Feb 28 2027
Assurance,Zr,28-64ZRY,Oct 30 2026
Assurance,Cu,28-83CUT,Sep 30 2026
Assurance,Fe,28-75FEY,July 30 2026
Assurance,K,28-6KY,Aug 30 2026
Assurance,Pt,28-2PTY,Feb 28 2027
Ricca,NO3,4410M47,April 30 2026
Assurance,Al,27-171ALT,July 30 2026
Assurance,Si,28-87SIX,Aug 30 2026
Assurance,Ti,27-189TIT,Aug 30 2026
Assurance,Cu,28-83CUT,Sep 30 2026
Assurance,Ca,28-35CAY,Oct 30 2026
Assurance,Zn,28-58ZNY,Oct 30 2026
Assurance,Ni,28-130NIT,Oct 30 2026
Ricca,Cr,45120423,May 31 2027
